Teacher,Student,Method,gsm8k,SVAMP,MultiArith,SingleEq,AddSub,AQuA,Average
Qwen2.5-14B,Qwen2.5-0.5B,student_KD_temp_1.0,28.43,44.6,86.17,81.5,78.23,22.44,56.9
Qwen2.5-14B,Qwen2.5-1.5B,student_KD_temp_1.0,50.34,66.1,93.0,91.93,87.59,30.31,69.88
Qwen2.5-14B,Qwen2.5-3B,student_KD_temp_1.0,61.56,73.1,96.17,93.5,87.09,29.92,73.56
Qwen2.5-14B,Qwen2.5-7B,student_KD_temp_1.0,70.96,78.9,97.17,95.08,90.13,30.71,77.16
Qwen2.5-14B,Qwen2.5-0.5B,student_GKD_temp_1.0,33.66,50.5,91.17,85.04,82.28,22.44,60.85
Qwen2.5-14B,Qwen2.5-1.5B,student_GKD_temp_1.0,55.95,72.2,95.17,92.13,86.08,31.89,72.24
Qwen2.5-14B,Qwen2.5-3B,student_GKD_temp_1.0,63.38,77.1,96.33,95.08,89.37,34.25,75.92
Qwen2.5-14B,Qwen2.5-7B,student_GKD_temp_1.0,72.02,80.6,96.5,94.88,88.61,34.65,77.88
Qwen2.5-14B,Qwen2.5-0.5B,student_RevKD_temp_1.0,35.78,53.8,87.17,87.6,83.8,31.1,63.21
Qwen2.5-14B,Qwen2.5-1.5B,student_RevKD_temp_1.0,59.89,73.1,96.5,93.7,89.87,29.53,73.77
Qwen2.5-14B,Qwen2.5-3B,student_RevKD_temp_1.0,67.1,79.7,97.0,92.72,90.38,32.28,76.53
Qwen2.5-14B,Qwen2.5-7B,student_RevKD_temp_1.0,74.91,82.5,97.17,94.69,87.34,31.5,78.02
